sku	canonical_name	by_retail_byn	by_retail_w	by_retail_pv	by_repeat_byn	by_repeat_w	by_repeat_pv	ru_retail_rub	ru_retail_w	ru_retail_pv	ru_repeat_rub	ru_repeat_w	ru_repeat_pv	in_by	in_ru	notes
M015-00	Активатор клеток	1750	500	500	1050	300	300	50000	500	500	30000	300	300	TRUE	TRUE	
EU-N000031-25	Активатор клеток PRO	2275	650	500	1400	400	300	65000	650	500	40000	400	300	TRUE	TRUE	
EU-N000024-24	Вентун 1.0	7000	2000	1500	5250	1500	1000	200000	2000	1500	150000	1500	1000	TRUE	TRUE	
EU-N000021-24	Массажёр Magic FoHerb 3.0	2275	650	500	1750	500	400	65000	650	500	50000	500	400	TRUE	TRUE	
D014	Высокотехнологичные компьютерные очки	192.5	55	50	87.5	25	25	5500	55	50	2500	25	25	TRUE	TRUE	
M014-00	Минисауна «Ба-Гуа»	2380	680	500	1575	450	300	68000	680	500	45000	450	300	TRUE	TRUE	
D017-00	Водородный стержень	175	50	50	87.5	25	25	5000	50	50	2500	25	25	TRUE	TRUE	
D059-20	Высокотехнологичные фотохромные очки	280	80	60	175	50	30	8000	80	60	5000	50	30	TRUE	TRUE	
D013	Стельки с анионами	385	110	100	227.5	65	60	11000	110	100	6500	65	60	TRUE	TRUE	
D013-06	Стельки с анионами — 45–46	402.5	115	100	245	70	60	11500	115	100	7000	70	60	TRUE	TRUE	
D003-00	Анионовые прокладки (бокс 19 шт)	245	70	50	210	60	40	7000	70	50	6000	60	40	TRUE	TRUE	
D004-00	Анионовые прокладки (ежедневные, 16 уп.)	262.5	75	50	210	60	40	7500	75	50	6000	60	40	TRUE	TRUE	
T015	Палантин	472.5	135	100	350	100	80	13500	135	100	10000	100	80	TRUE	TRUE	
T023	Носки Health Priority	227.5	65	50	157.5	45	30	6500	65	50	4500	45	30	TRUE	TRUE	
T003	Магнитный пояс	700	200	150	525	150	100	20000	200	150	15000	150	100	TRUE	TRUE	
T001	Наколенники	262.5	75	50	157.5	45	30	7500	75	50	4500	45	30	TRUE	TRUE	
T002-00	Шейная накладка	262.5	75	50	157.5	45	30	7500	75	50	4500	45	30	TRUE	TRUE	
EU-N000014-24	Система для здорового сна 4-в-1	7000	2000	1500	5250	1500	1000	205000	2050	1500	155000	1550	1000	TRUE	TRUE	
F028-00	Капсулы Линчжи Фохоу	70	20	15	52.5	15	10	2000	20	15	1500	15	10	TRUE	TRUE	
F038-00	Низкомолекулярный соевый пептид	192.5	55	50	105	30	25	5500	55	50	3000	30	25	TRUE	TRUE	
F001-02	Эликсир Фохоу	115.5	33	25	70	20	15	3300	33	25	2000	20	15	TRUE	TRUE	
F002-02	Эликсир «3 Драгоценности»	115.5	33	25	70	20	15	3300	33	25	2000	20	15	TRUE	TRUE	
F003-02	Эликсир Саньцин	115.5	33	25	70	20	15	3300	33	25	2000	20	15	TRUE	TRUE	
F024-00	Капсулы Сюэчинфу	157.5	45	40	122.5	35	30	4500	45	40	3500	35	30	TRUE	TRUE	
F011-02	Паста «Роза Фохоу»	45.5	13	10	28	8	5	1300	13	10	800	8	5	TRUE	TRUE	
F034-00	Кофейный напиток с кордицепсом и коллагеном	175	50	30	140	40	25	5000	50	30	4000	40	25	TRUE	TRUE	
F036-00	Спирулина	245	70	50	175	50	40	7000	70	50	5000	50	40	TRUE	TRUE	
F031-00	Чай Лювэй	45.5	13	10	28	8	5	1300	13	10	800	8	5	TRUE	TRUE	
F071-00	Паста Цинфэн	350	100	70	245	70	50	10000	100	70	7000	70	50	TRUE	TRUE	
F007-00	Капсулы «Железо, Кальций, Цинк, Селен»	70	20	15	52.5	15	10	2000	20	15	1500	15	10	TRUE	TRUE	
F087-00	Леденцы со спирулиной (5 шт)				70	20	15	2500	25	20	2000	20	15	TRUE	TRUE	
C033-00	Омолаживающая маска с лифтинг-эффектом	455	130	100	280	80	50							TRUE	FALSE	
C006-00	Омолаживающий спрей с лифтинг-эффектом	192.5	55	50	122.5	35	30	5500	55	50	3500	35	30	TRUE	TRUE	
C065-00	Подарочный набор косметики Fundesee	1155	330	250	735	210	150	33000	330	250	21000	210	150	TRUE	TRUE	
EU-N000036-26	Подарочный набор косметики Fundesee ×2	2275	650	500				65000	650	500				TRUE	TRUE	
C061-00	Масло-эссенция Fundesee	245	70	50	157.5	45	30	7000	70	50	4500	45	30	TRUE	TRUE	
C002-00	Увлажняющий гель	52.5	15	10	28	8	5	1500	15	10	800	8	5	TRUE	TRUE	
D011-00	Гель очищающий Foherb	122.5	35	25	87.5	25	15	3500	35	25	2500	25	15	TRUE	TRUE	
EU-N000030-25	Зубная паста с экстрактом полыни (×6)	87.5	25	15	70	20	10	2500	25	15	2000	20	10	TRUE	TRUE	
