project_id	sku	canonical_name	category	retail_price_rub	retail_w	retail_price_byn	partner_price_rub	partner_points	partner_w	partner_price_byn	repeat_purchase_pv	repeat_stock_status
whieda	D013	Стельки с анионами		11000	110	385	6500	100	65	227.5	60	
whieda	M015-00	Активатор клеток		50000	500	1750	30000	500	300	1050	300	
whieda	EU-N000024-24	Набор прибора Вэнтун 1.0		200000	2000	7000	150000	1500	1500	5250	1000	
whieda	EU-N000021-24	Набор Массажёра Magic Foherb 3.0 (TUV)		65000	650	2275	50000	500	500	1750	400	
whieda	D014	Высокотехнологичные компьютерные очки		5500	55	192.5	2500	50	25	87.5	25	
whieda	M014-00	МИНИСАУНА "БА-ГУА"		68000	680	2380	45000	500	450	1575	300	
whieda	F028-00	Капсулы линчжи ФОХОУ		2000	20	70	1500	15	15	52.5	10	
whieda	T015	Палантин		13500	135	472.5	10000	100	100	350	80	
whieda	F038-00	Низкомолекулярный соевый пептид		5500	55	192.5	3000	50	30	105	25	
whieda	D003-00	Анионовые прокладки (Бокс 19 шт)		7000	70	245	6000	50	60	210	40	
whieda	F001-02	Эликсир Фохоу		3300	33	115.5	2000	25	20	70	15	
whieda	F024-00	Капсулы Сюэчинфу		4500	45	157.5	3500	40	35	122.5	30	
whieda	F034-00	Кофейный напиток с кордицепсом и коллагеном		5000	50	175	4000	30	40	140	25	
whieda	F036-00	Спирулина		7000	70	245	5000	50	50	175	40	
whieda	EU-N000031-25	Активатор клеток PRO (комплект)		65000	650	2275	40000	500	400	1400	300	
whieda	F011-02	Роза Фохоу		1300	13	45.5	800	10	8	28	5	
whieda	C033-00	Омолаживающая маска с лифтинг эффектом Fundesee		13000	130	455	8000	100	80	280		
whieda	D004-00	Анионовые прокладки (ежедневные 16 упак)		7500	75	262.5	6000	50	60	210	40	
whieda	F002-02	Эликсир 3 Драгоценности		3300	33	115.5	2000	25	20	70	15	
whieda	F003-02	Эликсир Саньцин		3300	33	115.5	2000	25	20	70	15	
whieda	EU-N000014-24	Система для здорового сна 4 в 1		200000	2000	7000	150000	1500	1500	5250	1000	
whieda	D011-00	Гель очищающий Foherb		3500	35	122.5	2500	25	25	87.5	15	
whieda	D017-00	Водородный стержень (2шт)		5000	50	175	2500	50	25	87.5	25	
whieda	C006-00	Омолаживающий спрей с лифтинг эффектом Fundesee		5500	55	192.5	3500	20	35	122.5	30	
whieda	T023	Носки Health Priority		6500	65	227.5	4500	20	45	157.5	30	
whieda	C065-00	Подарочный набор косметики Fundesee		33000	330	1155	21000	250	210	735	150	
whieda	F031-00	Чай Лювэй		1300	13	45.5	800	10	8	28	5	out_of_stock
whieda	F071-00	Паста Цинфэн		10000	100	350	7000	70	70	245	50	
whieda	F007-00	Капсулы Железо, Кальций, Цинк, Селен		2000	20	70	1500	15	15	52.5	10	
whieda	D013-06	Стельки с анионами 45-46		11500	115	402.5	7000	100	70	245	60	
whieda	EU-N000030-25	Зубная паста с экстрактом полыни (new)*6		2500	25	87.5	2000	15	20	70	10	out_of_stock
whieda	F087-00	Леденцы со спирулиной (5 шт)		2500	25	87.5	2000	20	20	70	15	
whieda	C061-00	Масло-эссенция Fundesee		7000	70	245	4500	50	45	157.5	30	
whieda	C002-00	Увлажняющий гель Fundesee		1500	15	52.5	800	10	8	28	5	
whieda	E028-00	Каталог продукции WHIEDA		200	2	7	200	0	2	7	0	
whieda	EU-N000032-25	Набор растительного красящего шампуня		4500	45	157.5	3500	30	35	122.5	20	
whieda	EU-N000036-26	Подарочный набор косметики Fundesee*2		65000	650	2275	65000	500	-	-		
whieda	T003	Магнитный пояс		20000	200	700	20000	150	-	-	100	
whieda	T001	Наколенники		7500	75	262.5	7500	50	-	-	30	
whieda	T002-00	Шейная накладка		7500	75	262.5	7500	50	-	-	30	
