sku,canonical_name,category,alias_count,alias_examples,has_card,has_primary_photo,extra_photo_count,video_count,cert_pdf_count,retail_byn,partner_byn,pv_present,section_coverage,presentation_grade,missing_fields,source_refs,rendered_length,rendered_sections,renderer_defects,rendered_preview
C002-00,Увлажняющий гель,cosmetics,0,,False,True,1,0,1,True,True,True,no_card,blocked,product_cards:row_missing,snapshot=20260811T172219Z; products.tsv; product_cards.tsv:missing,0,0,,(no card)
C006-00,Омолаживающий спрей с лифтинг эффектом,cosmetics,0,,False,True,2,0,1,True,True,True,no_card,blocked,product_cards:row_missing,snapshot=20260811T172219Z; products.tsv; product_cards.tsv:missing,0,0,,(no card)
C033-00,Омолаживающая маска с лифтинг эффектом,cosmetics,0,,False,True,5,0,1,True,True,True,no_card,blocked,product_cards:row_missing,snapshot=20260811T172219Z; products.tsv; product_cards.tsv:missing,0,0,,(no card)
C061-00,Масло-эссенция Fundesee,other,0,,False,True,1,0,1,True,True,True,no_card,blocked,product_cards:row_missing,snapshot=20260811T172219Z; products.tsv; product_cards.tsv:missing,0,0,,(no card)
C065-00,Подарочный набор косметики Fundesee,cosmetics,0,,False,True,1,0,8,True,True,True,no_card,blocked,product_cards:row_missing,snapshot=20260811T172219Z; products.tsv; product_cards.tsv:missing,0,0,,(no card)
D003-00,Анионовые прокладки (Бокс 19 шт),home_wellness,2,прокладки; анионовые прокладки,True,True,0,2,3,True,True,True,what_it_is=Y|who_asks_about_it=Y|common_use_cases=Y|how_to_use_short=Y|what_to_expect_soft=Y|contraindications_short=Y,showcase_ready,,snapshot=20260811T172219Z; products.tsv; product_cards.tsv,1004,6,,
D004-00,Анионовые прокладки (ежедневные 16 упак),home_wellness,1,ежедневные прокладки,False,True,1,0,2,True,True,True,no_card,blocked,product_cards:row_missing,snapshot=20260811T172219Z; products.tsv; product_cards.tsv:missing,0,0,,(no card)
D011-00,Гель очищающий Foherb,home_wellness,3,очищающий гель foherb; вагинальный гель,True,True,3,1,2,True,True,True,what_it_is=Y|who_asks_about_it=Y|common_use_cases=Y|how_to_use_short=Y|what_to_expect_soft=Y|contraindications_short=Y,showcase_ready,,snapshot=20260811T172219Z; products.tsv; product_cards.tsv,916,6,,
D013,Стельки с анионами,accessory,3,стельки; стельки с анионами,True,True,1,2,2,True,True,True,what_it_is=Y|who_asks_about_it=Y|common_use_cases=Y|how_to_use_short=Y|what_to_expect_soft=Y|contraindications_short=Y,showcase_ready,,snapshot=20260811T172219Z; products.tsv; product_cards.tsv,1272,6,,
D013-06,Стельки с анионами 45-46,home_wellness,0,,False,True,1,0,1,True,True,True,no_card,blocked,product_cards:row_missing,snapshot=20260811T172219Z; products.tsv; product_cards.tsv:missing,0,0,,(no card)
